,Flowercat,Spiritual Foxbat,Cockatrice,Vanguard,Painted Alligator,Rock Candies,Hanged Man,Pygmy Pyzky,Manticore,Aurorian Fox,Beholding Siren,Imp,Satyr,Goatixy,Sea Dragon,Coralshell Turtle,Frilled Petal Dragon,Weed Wolf,Owel Treant,Singing Rabbat,Scrapgoat,Necropossum,Turf Tiger,Pygmy Tiger,Bearring,Luneko,Commons Fox,Mouse,Bastian,Borealan Fox,Uniqorn,Gorgon,Kelpie,Arachoon,Rugaru,Clover Lamb,Cat,Jackal,Rakshasa,Salamango,Pommeranian,Broccolamb,Catermelon,Pumpkit,Lettuce Lion,Gum Shooter
Flowercat,Flowercat,+,,+,,+,,,+,+,,+,+,,,,,,,,,,Thistle Tiger,Flower Tiger,,,+,+,,,,,,,,,,,,,,,,,,
Spiritual Foxbat,+,Spiritual Foxbat,,,,,,,,+,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatrice,,,Cockatrice,,,,,,,,,+,,,Seavern,+,Petaltrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard,+,,,Vanguard,,,,,,,,+,,,+,,,,,,,Bonefish,Surf Tiger,+,Sea Bearring,,,,,,,,,,,,,,,,,,,,,
Painted Alligator,,,,,Painted Alligator,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Candies,+,,,,,Rock Candies,,,,,,+,Flower Candies,,,,,,,,+,,Glam Candies,+,,,,,,,,,,,,,,,,,,,,,,
Hanged Man,,,,,,,Hanged Man,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pygmy Pyzky,,,,,,,,Pygmy Pyzky,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manticore,+,,,,,,,,Manticore,,,+,,,,,,,,Chirping Rabbat,,Deathwalker,,,,,,,+,,,,,,,,,,,,,,,,,
Aurorian Fox,+,+,,,,,,,,Aurorian Fox,,+,Aurorian Satyrfox,,,,,,,,,,+,Swirl Fox,,,+,,,+,,,,,,,,,,,,,,,,
Beholding Siren,,,,,,,,,,,Beholding Siren,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imp,+,+,+,+,+,+,+,+,+,+,+,Imp,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Satyr,+,,,,,Flower Candies,,,,Aurorian Satyrfox,,+,Satyr,Goatixy,,,,,,Satyrbun,Diogoat,,,,,,Commons Satyrfox,,,Borealan Satyrfox,Satyrqorn,,,,,,,,,,,,,,,
Goatixy,,,,,,,,,,,,+,Goatixy,Goatixy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Dragon,,,Seavern,+,,,,,,,,+,,,Sea Dragon,+,,,,,+,,,,,,,,,,,Sea Dragorgon,Trojan Dragon,,,,,,,,,,,,,
Coralshell Turtle,,,+,,,,,,,,,+,,,+,Coralshell Turtle,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frilled Petal Dragon,,,Petaltrice,,,,,,,,,+,,,,+,Frilled Petal Dragon,,,,,,,,,,,,,,,Flower Dragorgon,,,,,,,,+,,,,,,+
Weed Wolf,,,,,,,,,,,,+,,,,,,Weed Wolf,,,,,,,,,,,,,,,,,,,,,,,+,+,+,+,+,
Owel Treant,,,,,,,,,,,,+,,,,,,,Owel Treant,,,,,,,,,,,,,,,+,,,,,,,,,,,,
Singing Rabbat,,,,,,,,,Chirping Rabbat,,,+,Satyrbun,,,,,,,Singing Rabbat,,Vampire Rabbat,,,Singing Bearrub,,,,,,,,,,Rugarabbat,,,,,,,,,,,
Scrapgoat,,,,,,+,,,,,,+,Diogoat,,+,,,,,,Scrapgoat,Junkrat,Stripe Goat,+,,,,,,,,,,,,,,,,,,,,,,
Necropossum,,,,Bonefish,,,,,Deathwalker,,,+,,,,,,,,Vampire Rabbat,Junkrat,Necropossum,Tomb Tiger,+,Grisly Bearring,,,,,,,,,,,Bansheep,Nekopossum,Shackal,,,,,,,,
Turf Tiger,Thistle Tiger,,,Surf Tiger,,Glam Candies,,,,+,,+,,,,,,,,,Stripe Goat,Tomb Tiger,Turf Tiger,+,Twinkle Tiger,,,,+,,,,,,,Truce Tiger,,,,,,,,,,
Pygmy Tiger,Flower Tiger,,,+,,+,,,,Swirl Fox,,+,,,,,,,,,+,+,+,Pygmy Tiger,+,,,,Pygmy Bastian,,,,,,,,,,Atrocitiger,,,,,,,
Bearring,,,,Sea Bearring,,,,,,,,+,,,,,,,,Singing Bearrub,,Grisly Bearring,Twinkle Tiger,+,Bearring,,,,,,,,,,,,,,,,,,,,,
Luneko,,,,,,,,,,,,+,,,,,,,,,,,,,,Luneko,,,,,,,,,,,,,,,,,,,,
Commons Fox,+,,,,,,,,,+,,+,Commons Satyrfox,,,,,,,,,,,,,,Commons Fox,,,,,,,,,,,,,,,,,,,
Mouse,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,Mouse,,,,,,,,,,,,,,,,,,
Bastian,,,,,,,,,+,,,+,,,,,,,,,,,+,Pygmy Bastian,,,,,Bastian,,,,,,,,,,,,,,,,,
Borealan Fox,,,,,,,,,,+,,+,Borealan Satyrfox,,,,,,,,,,,,,,,,,Borealan Fox,,,,,,,,,,,,,,,,
Uniqorn,,,,,,,,,,,,+,Satyrqorn,,,,,,,,,,,,,,,,,,Uniqorn,,,,,,,,,,,,,,,
Gorgon,,,,,,,,,,,,+,,,Sea Dragorgon,,Flower Dragorgon,,,,,,,,,,,,,,,Gorgon,,,,,,,,,,,,,,
Kelpie,,,,,,,,,,,,+,,,Trojan Dragon,,,,,,,,,,,,,,,,,,Kelpie,,,,,,,,,,,,,
Arachoon,,,,,,,,,,,,+,,,,,,,+,,,,,,,,,,,,,,,Arachoon,,,,,,,,,,,,
Rugaru,,,,,,,,,,,,+,,,,,,,,Rugarabbat,,,,,,,,,,,,,,,Rugaru,,,,,,,,,,,
Clover Lamb,,,,,,,,,,,,+,,,,,,,,,,Bansheep,Truce Tiger,,,,,,,,,,,,,Clover Lamb,,,,,,,,,,
Cat,,,,,,,,,,,,+,,,,,,,,,,Nekopossum,,,,,,,,,,,,,,,Cat,,,,,,,,,
Jackal,,,,,,,,,,,,+,,,,,,,,,,Shackal,,,,,,,,,,,,,,,,Jackal,,,,,,,,
Rakshasa,,,,,,,,,,,,+,,,,,,,,,,,,Atrocitiger,,,,,,,,,,,,,,,Rakshasa,,,,,,,
Salamango,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,,,Salamango,,,,,,
Pommeranian,,,,,,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,Pommeranian,,,,,
Broccolamb,,,,,,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,Broccolamb,,,,
Catermelon,,,,,,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,Catermelon,,,
Pumpkit,,,,,,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,Pumpkit,,
Lettuce Lion,,,,,,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce Lion,
Gum Shooter,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gum Shooter
